Location,Voltage,Capacitance,Diameter
C120,50V,0.33uF,6mm
C201,16V,100uF,8mm
C211,50V,2.2uF,6mm
C212,50V,1uF,6mm
C213,50V,0.1uF,6mm
C221,16V,22uF,6mm
C301,25V,10uF,6mm
C304,25V,4.7uF,6mm
C308,25V,10uF,6mm
C309,16V,33uF,6mm
C310,25V,4.7uF,6mm
C313,16V,1000uF,13mm
C317,50V,1uF,6mm
C318,50V,1uF,6mm
C443,160V,4.7uF,10mm
C444,160V,22uF,13mm
C502,25V,10uF,6mm
C504,25V,10uF,6mm
C505,50V,0.22uF,6mm
C506,25V,10uF,6mm
C512,25V,10uF,6mm
C602,50V,1uF,6mm
C604,160V,22uF,13mm
C605,50V,4.7uF,6mm
C607,50V,4.7uF,6mm
C608,100V,100uF,13mm
C611,50V,3.3uF,6mm
C614,16V,220uF,11mm
C701,25V,10uF,6mm
C702,50V,1uF,6mm
C706,10V,220uF,8mm
C707,50V,10uF,6mm
C717,160V,10uF,10mm
C720,16V,2200uF,16mm
C905,200V,470uF,26mm
C906,160V,10uF,11mm
C907,160V,100uF,16mm
C415,160V,1uF,7mm
C407,50V,1uF,6mm
C408,50V,1uF,6mm
C405,50V,1uF,6mm
C201,16V,100uF,8mm
