Location,Voltage,Capacitance,Diameter
C551,35,100,6mm
C553,25,1000,10mm
C361,50,22,5mm
C557,50,1,5mm
C554,50,10,5mm
C365,10,100,5mm
C360,16,470,9mm
C210,50,0.47,5mm
C419,16,2200,13mm
C529,50,10,5mm
C530,50,10,5mm
C432,200,100,18mm
C565,10,100,5mm
C447,35,1000,13mm
C461,250,22,13mm
C510,200,10,10mm
C405,200,330,26mm
C431,200,3.3,8mm
C406,10,100,5mm
C231,16,2200,12mm
C236,50,2.2,5mm
C470,16,47,5mm
C464,10,100,5mm
C252,50,1,5mm
C462,10,330,7mm
C355,16,22,5mm
C617,16,22,5mm
